,Artist,Song,Lyrics,Genre,Charting Number
48,Sam Smith,Too Good At Goodbyes,You must think that Im stupid You must think that Im a fool You must think that Im new to this But I have seen this all before  Im never gonna let you close to me Even though you mean the most to me Cause every time I open up it hurts So Im never gonna get too close to you Even when I mean the most to you In case you go and leave me in the dirt  But every time you hurt me the less that I cry And every time you leave me the quicker these tears dry And every time you walk out the less I love you Baby we dont stand a chance its sad but its true  Im way too good at goodbyes Im way too good at goodbyes Im way too good at goodbyes Im way too good at goodbyes  I know youre thinking Im heartless I know youre thinking Im cold Im just protecting my innocence Im just protecting my soul  Im never gonna let you close to me Even though you mean the most to me Cause every time I open up it hurts So Im never gonna get too close to you Even when I mean the most to you In case you go and leave me in the dirt  But every time you hurt me the less that I cry And every time you leave me the quicker these tears dry And every time you walk out the less I love you Baby we dont stand a chance its sad but its true  Im way too good at goodbyes Im way too good at goodbyes Im way too good at goodbyes Im way too good at goodbyes No way that youll see me cry No way that youll see me cry  Im way too good at goodbyes Im way too good at goodbyes No No no no no no Im way too good at goodbyes No no no no No no no Im way too good at goodbyes No way that youll see me cry Im way too good at goodbyes  Cause every time you hurt me the less that I cry And every time you leave me the quicker these tears dry And every time you walk out the less I love you Baby we dont stand a chance its sad but its true Im way too good at goodbyes,Pop,49
49,Kendrick Lamar,Love., Damn love or lust Damn all of us  Give me a run for my money There is nobody no one to outrun me Another world premiere So give me a run for my money Sippin bubbly feelin lovely livin lovely Just love me I wanna be with you ay I wanna be with Just love me just love me just love me I wanna be with you ay I wanna be with Love me I wanna be with you Love me just love me  If I didnt ride blade on curb would you still love me If I minimized my net worth would you still love me Keep it a hundred Id rather you trust me than to love me Keep it a whole one hund dont got you I got nothin  Ay I got somethin Hold up we gon function no assumptions Feelin like Tyson with it Knock it out twice Im with it Only for the night Im kiddin Only for life youre a homie for life Youre a homie for life lets get it Hit that shoulder lean I know what comin over mean Backstroke oversea I know what you need Already on ten our money come in All feeling go out this feeling dont drought This party wont end  If I didnt ride blade on curb would you still love me If I minimized my net worth would you still love me Keep it a hundred Id rather you trust me than to love me Keep it a whole one hund dont got you I got nothin  Give me a run for my money There is nobody no one to outrun me So give me a run for my money Sippin bubbly feelin lovely livin lovely Just love me I wanna be with you ay I wanna be with Just love me just love me just love me I wanna be with you ay I wanna be with Love me I wanna be with you Love me just love me  Im on the way We aint got no time to waste Poppin your gum on the way Am I in the way I dont wan pressure you none I want your blessing today Oh by the way open the door by the way Told you that Im on the way Im on the way I know connection is vague Pick up the phone for me babe Damn it we jammin Bad attitude from your nanny Curves and your hips from your mammy Remember Gardena I took the studio camera I know Top will be mad at me I had to do it I want your body your music I bought the big one to prove it Look what you made Told you that Im on the way Im like an exit away yep  If I didnt ride blade on curb would you still love me If I minimized my net worth would you still love me Keep it a hundred Id rather you trust me than to love me Keep it a whole one hund dont got you I got nothin  Give me a run for my money There is nobody no one to outrun me So give me a run for my money Sippin bubbly feelin lovely livin lovely Just love me I wanna be with you ay I wanna be with Just love me just love me just love me I wanna be with you ay I wanna be with Love me I wanna be with you Love me just love me,Rap,50
50,Childish Gambino,This Is America,Yeah yeah yeah yeah yeah Yeah yeah yeah go go away Yeah yeah yeah yeah yeah Yeah yeah yeah go go away Yeah yeah yeah yeah yeah Yeah yeah yeah go go away Yeah yeah yeah yeah yeah Yeah yeah yeah go go away  We just wanna party Party just for you We just want the money Money just for you I know you wanna party Party just for me Girl you got me dancin yeah girl you got me dancin Dance and shake the frame We just wanna party yeah Party just for you yeah We just want the money yeah Money just for you you I know you wanna party yeah Party just for me yeah Girl you got me dancin yeah girl you got me dancin Dance and shake the frame you  This is America Dont catch you slippin up Dont catch you slippin up Look what Im whippin up This is America woo Dont catch you slippin up Dont catch you slippin up Look what Im whippin up  This is America skrrt skrrt woo Dont catch you slippin up ayy Look at how Im livin now Police be trippin now woo Yeah this is America woo ayy Guns in my area word my area I got the strap ayy ayy I gotta carry em Yeah yeah Ima go into this ugh Yeah yeah this is guerilla woo Yeah yeah Ima go get the bag Yeah yeah or Ima get the pad Yeah yeah Im so cold like yeah yeah Im so dope like yeah woo We gon blow like yeah straight up uh  Oohoohoohoohooh tell somebody You go tell somebody Grandma told me Get your money Black man get your money Get your money Black man get your money Get your money Black man get your Black man Get your money Black man get your Black man Black man  This is America woo ayy Dont catch you slippin up woo woo dont catch you slippin now Dont catch you slippin up ayy woah Look what Im whippin up Slime This is America yeah yeah Dont catch you slippin up woah ayy Dont catch you slippin up ayy woo Look what Im whippin up ayy  Look how Im geekin out hey Im so fitted Im so fitted woo Im on Gucci Im on Gucci Im so pretty yeah yeah Im gon get it ayy Im gon get it Watch me move blaow This a celly ha Thats a tool yeah On my Kodak woo Black Ooh know that yeah know that hold on Get it get it get it Ooh work it 21 Hunnid bands hunnid bands hunnid bands hunnid bands Contraband contraband contraband contraband I got the plug en Oaxaca woah They gonna find you that blocka blaow  Oohoohoohoohooh tell somebody America I just checked my following list and You go tell somebody You mothafuckas owe me Grandma told me Get your money Black man Black man Get your money Black man Black man Get your money Black man get your Black man Get your money Black man get your Black man Black man One two get down Oohoohoohoohooh tell somebody You go tell somebody Grandma told me Get your money Get your money Black man Black man Get your money Black man Black man Get your money Black man Black man Get your money Black man Black man Black man  You just a Black man in this world You just a barcode ayy You just a Black man in this world Drivin expensive foreigns ayy You just a big dawg yeah I kenneled him in the backyard No probably aint life to a dog For a big dog,Rap,51
51,Drake,Nonstop,Tay Keith fuck these niggas up  Look I just flipped a switch flipped flipped I dont know nobody else thats doing this Bodies start to drop ayy hit the floor Now they wanna know me since I hit the top ayy This a Rollie not a stopwatch shit dont ever stop This the flow that got the block hot shit got super hot Give me my respect give me my respect I just took it left like Im ambidex Bitch I move through London with the eurostep Got a sneaker deal and I aint break a sweat Catch me cause Im going outta there Im gone How I go from 6 to 23 like Im LeBron Servin up a pack servin up a pack Niggas pullin gimmicks cause they scared to rap Funny how they shook ayy got these niggas shook Pullin back the curtain by myself take a look ayy Im a bar spitta Im a hard hitta Yeah Im light skinned but Im still a dark nigga Im a wig splitta Im a tall figure Im a unforgiving wildass dog nigga Somethin wrong with em got em all bitter Im a bill printer Im a grave digger Yeah I am what I am I dont have no time for no misunderstandings again  I had to get it Fuck all that chicken shit Bake the nig I had to get it Fuck all that chicken shit Bake the nig I had to get it This a Rollie not a stopwatch shit dont ever stop Fuck all that chicken shit Bake the nig I had to get it Fuck all that chicken shit Bake the nig I had to get it Fuck all that chicken shit Bake the nig I had to get it Fuck all that chicken shit Bake the nig I had to  Future took the business and ran it for me I let Ollie take the owl told him brand it for me I get 2 million a pop and thats standard for me Like I went blind dog you gotta hand it to me gotta gimme that shit dog Prayed then I prayed again Amen Lord Had a moment but it came and went They dont love you no more You dont wanna play with him nah nah nah Theyll be mourning you like 8AM RIP Pinky ring till I get a wedding ring woah yeah Love my brothers cut em in on anything big slice And you know its King Slime Drizzy damn She just said Im bae I hit the thizzle dance Mac Dre shit damn Either hand is the upper hand oh yeah shit Got a bubble on my other hand oh yeah shit yeah This shit aint no hundred bands nah nah nah nah Palace look like Buckingham Bills so big I call em Williams for real Reasons to go crazy got a trillion for real They been trying me but Im resilient for real I cant go in public like civilian for real And I hardly take offense Money for revenge man thats hardly an expense Al Haymon checks off of all of my events I like all the profit man I hardly do percents I dont do that shit A big part of me resents niggas that I knew from when I started in this shit They see what I got and man its hard to be content Fuck what they got going on I gotta represent  I had to get it Fuck all that chicken shit Bake the nig I had to get it Fuck all that chicken shit Bake the nig I had to get it Fuck all that chicken shit Bake the nig I had to get it This a Rollie not a stopwatch shit dont ever stop Fuck all that chicken shit Bake the nig I had to get it Fuck all that chicken shit Bake the nig I had to get it Fuck all that chicken shit Bake the nig I had to get it This the flow that got the block hot shit got super hot,Rap,52
52,Kane Brown,Heaven,This is perfect Come kiss me one more time I couldnt dream this up Even if I tried You and me in this moment Feels like magic dont it Im right where I wanna be  Everybodys talking about heaven like they just cant wait to go Saying how its gonna be so good so beautiful Lying next to you in this bed with you I aint convinced Cause I dont know how I dont know how heaven heaven Could be better than this  I swear youre an angel Sent to this world What did I do right to deserve you girl I could stay here forever Id be fine if we never had to even leave this room  Everybodys talking about heaven like they just cant wait to go Saying how its gonna be so good so beautiful Lying next to you in this bed with you I aint convinced Cause I dont know how I dont know how heaven heaven Could be better than this Could be better than this  Everybodys talking about heaven like they just cant wait to go Saying how its gonna be so good so beautiful Lying next to you in this bed with you I aint convinced Cause I dont know how I dont know how heaven heaven Could be better than this heaven Could be better than this heaven heaven  I swear this is perfect Come kiss me one more time,Country,53
53,Cardi B,Bodak Yellow,KSR ooh Hah its Cardi ayy Said Im the shit they cant fuck with me if they wanted to I dont gotta dance  Said Lil bitch you cant fuck with me if you wanted to ooh These expensive these is red bottoms these is bloody shoes ooh Hit the store I can get em both I dont wanna choose bah And Im quick cut a nigga off so dont get comfortable look ooh  I dont dance now I make money moves wave ayy Say I dont gotta dance I make money move ooh ooh If I see you and I dont speak that means I dont fuck with you ah Im a boss you a worker bitch I make bloody moves bags  Now she say she gon do what to who Lets find out and see Cardi B you know where Im at you know where I be ooh ooh You in the club just to party Im there I get paid a fee bah I be in and out them banks so much I know theyre tired of me Honestly dont give a fuck bout who aint fond of me who Dropped two mixtapes in six months what bitch working as hard as me yeah I dont bother with these hoes dont let these hoes bother me They see pictures they say Goals bitch Im who they tryna be Look I might just chill in some BAPE ooh I might just chill with your boo I might just feel on your babe my pussy feel like a lake He wanna swim with his face Im like Okay okay Ill let him get what he want he buy me Yves Saint Laurent yeah And the new whip when I go fast as a horse I got the trunk in the front vroom Im the hottest in the street pew street know you prolly heard of me yeah Got a bag and fixed my teeth teeth hope you hoes know it aint cheap cheap And I pay my mama bills bills I aint got no time to chill blah Think these hoes be mad at me ooh their baby father run a bill ooh  Said Lil bitch you cant fuck with me if you wanted to ooh These expensive these is red bottoms these is bloody shoes ooh Hit the store I can get em both I dont wanna choose bah And Im quick cut a nigga off so dont get comfortable look ooh  I dont dance now I make money moves wave ayy Say I dont gotta dance I make money move ooh ooh If I see you and I dont speak that means I dont fuck with you ah Im a boss you a worker bitch I make bloody moves bags bags  If you a pussy you get popped popped you a goofy you a opp opp blah Dont you come around my way way you cant hang around my block block nope And I just checked my accounts turns out Im rich Im rich Im rich Im rich I put my hand above my hip I bet you dip he dip she dip grrrah I say I get the money and go this shit is hot like a stove ooh My pussy glitter as gold tell that lil bitch play her role ah ah I just arove in a Rolls oh I just came up in a Wraith yeah I need to fill up the tank no I need to fill up the safe ooh I need to let all these hoes know that none of their niggas is safe I go to dinner and steak blah yeah only the real can relate yeah I used to live in the Ps ooh ooh now its a crib with a gate ah Rollie got charms look like Frosted Flakes bling Had to let these bitches know yeah just in case these hoes forgot oh I just run and check the mail another check from Mona Scott oh  Said Lil bitch you cant fuck with me if you wanted to ooh These expensive these is red bottoms these is bloody shoes ooh Hit the store I can get em both I dont wanna choose bah And Im quick cut a nigga off so dont get comfortable look ooh  I dont dance now I make money moves wave ayy Say I dont gotta dance I make money move ooh ooh If I see you and I dont speak that means I dont fuck with you ah Im a boss you a worker bitch I make bloody moves bags,Rap,54
54,Lil Dicky,Freaky Friday, Lil Dicky ooh Mustard on the beat ho  I woke up Chris Breezy oh my god Im the man oh shit Im so fly and I can dance whoa whoa shit Theres tattoos on my neck oh oh I just FaceTimed Kanye blip blip I told him Im his biggest fan yeah yeah Got all these hoes in my DM yeah I do hold up Holy shit I got a kid oh Oh I can sing so well Wonder if I can say the nword wait for real Wait can I really say the nword What up my nigga woo What up my nigga Big ups my nigga We up my nigga you pussy ass nigga Man fuck yall niggas cause Im that nigga Nigga nigga nigga Im that nigga  I woke up in Chris Browns body oh yeah So how this shit turned into Freaky Friday But we got no choice but to turn this bitch sideways oh yeah oh yeah I cant believe that its freaky Friday Yeah its Freaky Friday Im in Chris Browns body I drive his Ferrari and Im lightskinned black  Ring ring what the fuck I woke up and Im Lil Dicky Lil Dicky Ugh what the fuck This shit is real weak How his dick staying perched up on his balls like that Walking down the street and aint nobody know my name whoa Aint no paparazzi flashing pictures this is great whoa Aint nobody judging cause Im black for my controversial past Ima go and see a movie and relax woo lets go Ayy Im a Blood but I can finally wear blue cool Whys his momma calling all the time Leave me the fuck alone bitch Wait if Im in Dicky body Breezy is who Hope my daughters in school Fuck if I was Chris Brown where would I be What would I do  I woke up in Chris Browns body oh yeah So how this shit turned into Freaky Friday But we got no choice but to turn this bitch sideways oh yeah oh yeah I cant believe that its Freaky Friday Yeah its Freaky Friday Im in Chris Browns body I look at my soft dick with delight its my dream dick  If I was Lil Dicky in my body where would I be Im tryna find myself like an introspective monk Im balling on the court oh my god I can dunk Snap a flick of my junk My dick is trending on Twitter fuck Now Im at the club I talked my way to getting in I look up in the VIP my goodness there I am I signal to him let me in but he wont let me in I dont know who that is Wait who the fuck he think he is Took a glass bottle shatter it on the bouncers head woo Walked up to that motherfucker Wait think it through for a sec If you hurting me then you only hurting yourself But wait I love myself That was the key now were switching back  I woke up in Chris Browns body oh yeah So how this shit turned into Freaky Friday But we got no choice but to turn this bitch sideways oh yeah oh yeah I cant believe that its Freaky Friday  Wait what the fuck And now Im in Ed Sheerans body Its way less cool than being Chris Brown was  What the fuck again Im DJ Khaled Why am I yelling  Huh Im Kendall Jenner I got a vagina Im gonna explore that right now woo Holy shit I got a vagina uh Im gonna learn Im gonna understand the inner workings of a woman,Rap,55
55,6ix9ine,Gummo,Niggas iffy uh Blicky got the stiffy uh Got blicky uh drum it holds fifty uh Scum Gang  Pop these niggas like a wheelie nigga you a silly nigga In the hood with them billy niggas and them hoover niggas You run up and they shooting niggas we aint hooping nigga Yo KB you a loser nigga up that Uzi nigga On the stoop grills in my Georgia girl on my fro She wanna fuck but keep her clothes on I only want the jaw Man thats really all I use her for then I kick her out the door I dont want her you can keep the whore she fiending for some more In New York my niggas dont Milly Rock my niggas money bop Blow a case a nigga throwing shots I run em off they block Quarter milli in the stash box I grinded for my spot Niggas talking bout that cash but my bag worth a lot I dont fuck with no old hoes only new hoes Put my dick in her backbone I pass her to my bro I dont love her thats a sad hoe she a bad hoe Imma fuck her then I dash home to the cash hoe  Im on some rob a nigga shit take a nigga bitch Do the dash in the whip count the cash in the whip I pull up with a stick I let that shit hit Shout out but I fucked that nigga bitch  Niggas iffy uh Blicky got the stiffy uh Got blicky uh drum it holds fifty uh Move milli all my niggas on fifty uh Talk down you silly uh Hit a stain fifty bands all hunnids Spinning through ya block like a pop shove it Shoot at me Im shooting back Im getting buckets I aint wanna take his life but nigga fuck it  Im on some rob a nigga shit take a nigga bitch Do the dash in the whip count the cash in the whip I pull up with a stick I let that shit hit Shout out but I fucked that nigga bitch Im on some rob a nigga shit take a nigga bitch Do the dash in the whip count the cash in the whip I pull up with a stick I let that shit hit Shout out but I fucked that nigga bitch  Scum Gang,Rap,56
56,Rich The Kid,Plug Walk,Ayy ayy plug walk plug walk plug plug I dont even understand how the fuck my plug talk huh what what Pick him up in a space coupe I dont let my plug walk skrrt pull up in a space coupe New freak had to cut my other lil bitch off ooh ooh lil bitch 50K you could come and book a nigga for a plug walk  You cant reach me what space coupe like ET Its the plug tryna call me skrrt skrrt I was up trappin early in the morning plug Ooh on the wave like a durag durag Pussy nigga callin for his boo back pussy Plug walk Gucci on my shoe racks Gucci Walk up in the house with a ratatat Til I ran into the plug til I ran into the plug Til I ran into the mud to the mud I done ran into some racks I done ran into your girl your girl Why the plug show me love Show me love I done came up from a dub huh  Plug walk plug walk plug plug I dont even understand how the fuck my plug talk huh what what Pick him up in a space coupe I dont let my plug walk skrrt pull up in a space coupe New freak had to cut my other lil bitch off ooh ooh lil bitch 50K you could come and book a nigga for a plug walk  Big ol Bentley its a spaceship woah Call me on my phone I dont say shit what I make money when I talk when I talk Im a boss take a loss Im a what I could introduce you to the plug to the plug Bitch this aint no Henny in my cup lil bitch Stayed down now the racks up racks up She gon let me fuck ass up ass up Plug I stuck keys in the Louis V Louis V Fuck 12 Im a G aint no stoppin me aint no stoppin me And my wrist is on overseas drip Rich nigga you cant talk to me rich  Ayy plug walk plug walk plug plug I dont even understand how the fuck my plug talk huh what what Pick him up in a space coupe I dont let my plug walk skrrt pull up in a space coupe New freak had to cut my other lil bitch off ooh ooh lil bitch 50K you could come and book a nigga for a plug walk,Rap,57
57,Maroon 5,Wait,Dirty looks from your mother Never seen you in a dress that color no Its a special occasion Not invited but Im glad I made it  Oh let me apologize Ill make up make up make up make up for all those times Your love I dont wanna lose Im beggin beggin beggin beggin Im beggin you  Wait can you turn around can you turn around Just wait can we work this out can we work this out Just wait can you come here please Cause I wanna be with you Wait can you turn around can you turn around Just wait can we work this out can we work this out Just wait can you come here please Cause I wanna be with you  Can we talk for a moment Got these feelings that Im tired of holding on Wasnt tryna get wasted I needed more than three or four to say this so  Let me apologize yea Ill make up make up make up make up for all those times all those times Your love I dont wanna lose Im beggin beggin beggin beggin Im beggin you  Wait can you turn around can you turn around Just wait can we work this out can we work this out Just wait can you come here please Cause I wanna be with you Wait can you turn around can you turn around Just wait can we work this out can we work this out Just wait can you come here please Cause I wanna be with you  You say Im just another bad guy You say Ive done a lot of things I cant undo Before you tell me for the last time Im beggin beggin beggin beggin beggin you  Wait can you turn around can you turn around Just wait can we work this out can we work this out Just wait can you come here please Cause I wanna be with you Wait can you turn around can you turn around Just wait can we work this out can we work this out Just wait can you come here please Cause I wanna be with you,Pop,58
58,Cardi B,Be Careful,Yeah Be careful be careful be careful with me Yeah look  I wanna get married like the Currys Steph and Ayesha shit But we more like Belly Tommy and Keisha shit Gave you TLC you wanna creep and shit Poured out my whole heart to a piece of shit Man I thought you wouldve learned your lesson Bout liking pictures not returnin texts I guess its fine man I get the message You still stutter after certain questions You keep in contact with certain exes Do you though Trust me nigga its cool though Said that you was workin but youre out here chasin culo And putas chillin poolside livin two lives I couldve did what you did to me to you a few times But if I did decide to slide find a nigga Fuck him suck his dick you wouldve been pissed But thats not my MO Im not that type of bitch And karma for you is gon be who you end up with Dont make me sick nigga  The only man baby I adore I gave you everything whats mine is yours I want you to live your life of course But I hope you get what you dyin for Be careful with me Do you know what you doin Whose feelings that youre hurtin and bruisin You gon gain the whole world But is it worth the girl that youre losin Be careful with me Yeah its not a threat its a warnin Be careful with me Yeah my heart is like a package with a fragile label on it Be careful with me  Care for me care for me Always said that youd be there for me there for me Boy you better treat me carefully carefully look  I was here before all of this Guess you actin out now you got an audience Tell me where your mind is drop a pin whats the coordinates You might have a fortune but you lose me you still gon be misfortunate nigga Tell me this loves got you this fucked up in the head You want some random bitch up in your bed She dont even know your middle name Watch her cause she might steal your chain You dont want someone who loves you instead I guess not though Its blatant disrespect you nothin like the nigga I met Talk to me crazy and you quick to forget You even got me trippin you got me lookin in the mirror different Thinkin Im flawed because you inconsistent Between a rock and a hard place the mud and the dirt Its gon hurt me to hate you but lovin yous worse It all stops so abrupt we start switchin it up Teach me to be like you so I can not give a fuck Free to mess with someone else I wish these feelings could melt Cause you dont care about a thing except your mothafuckin self You make me sick nigga  The only man baby I adore I gave you everything whats mine is yours I want you to live your life of course But I hope you get what you dyin for Be careful with me Do you know what you doin Whose feelings that youre hurtin and bruisin You gon gain the whole world But is it worth the girl that youre losin Be careful with me Yeah its not a threat its a warnin Be careful with me Yeah my heart is like a package with a fragile label on it Be careful with me,Rap,59
59,Selena Gomez,Wolves,In your eyes theres a heavy blue One to love and one to lose Sweet divine a heavy truth Water or wine dont make me choose  I wanna feel the way that we did that summer night night Drunk on a feeling alone with the stars in the sky  Ive been running through the jungle Ive been running with the wolves To get to you to get to you Ive been down the darkest alleys Saw the dark side of the moon To get to you to get to you Ive looked for love in every stranger Took too much to ease the anger All for you yeah all for you Ive been running through the jungle Ive been crying with the wolves To get to you to get to you to get to you  To get to you To get to you  Your fingertips trace my skin To places I have never been Blindly I am following Break down these walls and come on in  I wanna feel the way that we did that summer night night Drunk on a feeling alone with the stars in the sky  Ive been running through the jungle Ive been running with the wolves To get to you to get to you Ive been down the darkest alleys Saw the dark side of the moon To get to you to get to you Ive looked for love in every stranger Took too much to ease the anger All for you yeah all for you Ive been running through the jungle Ive been crying with the wolves To get to you to get to you to get to you  To get to you To get to you  Ive been running through the jungle Ive been running with the wolves To get to you to get to you Ive been down the darkest alleys Saw the dark side of the moon To get to you to get to you Ive looked for love in every stranger Took too much to ease the anger All for you yeah all for you Ive been running through the jungle Ive been crying with the wolves To get to you to get to you to get to you,Pop,60
60,Cardi B,Bartier Cardi, Bardi in a Rari diamonds all over my body Shinin all over my body Put that bitch on Molly Bardi Bitch on Molly 21 diamonds all over my body Said that bitch on Molly Ask him if Im bout it  Your bitch wanna party with Cardi Cartier Bardi in a Rari 21 Diamonds all over my body Cardi Shinin all over my body my body Cardi got your bitch on molly Bitch you aint gang you lame Bentley truck lane to lane Blow out the brain 21 I go insane insane I drop a check on the chain Fuck up a check in the plane Cardi took your man you upset uh Cardi got rich they upset yeah Cardi put the pussy on Offset Say what Cartier Cardi B brain on Offset 21 Cardi took your man you upset uh Cardi got rich they upset yeah Cardi put the pussy on Offset Cardi Cartier Cardi B brain on Offset Cardi  Who get this mothafucker started Cardi Who took your bitch out to party Cardi I took your bitch in the party Cardi Who that be fly as a Martian Cardi Who that on fleek in the cut Cardi Who got the bricks in the truck Cardi Them diamonds gon hit like a bitch on a bitch ass bitch Bitch you a wannabe Cardi Red bottom MJ moonwalk on a bitch Moonwalkin through your clique Im moonwalkin in the 6 Sticky with the kick moonrocks in this bitch I from the motherfuckin Bronx Bronx I keep the pump in the trunk trunk Bitch if you bad then jump jump Might lead your bitch in a slump  Your bitch wanna party with Cardi Cartier Bardi in a Rari 21 Diamonds all over my body Cardi Shinin all over my body my body Cardi got your bitch on molly Bitch you aint gang you lame Bentley truck lane to lane Blow out the brain 21 I go insane insane I drop a check on the chain Fuck up a check in the plane Cardi took your man you upset uh Cardi got rich they upset yeah Cardi put the pussy on Offset Say what Cartier Cardi B brain on Offset 21 Cardi took your man you upset uh Cardi got rich they upset yeah Cardi put the pussy on Offset Cardi Cartier Cardi B brain on Offset Cardi  Your bitch wanna party with a Savage 21 Saint Laurent Savage in an Aston yeah High end cars and fashion 21 I dont eat pussy Im fastin on God Im a Blood my brother Crippin Bitch Im drippin ho you trippin Told the waitress I aint tippin I like hot sauce on my chicken on God I pulled the rubber off and I put hot sauce on her titties 21 Im in a Bentley truck she keep on suckin like its tinted 21 All these VVS nigga my sperm worth millions on God The bitch so bad I popped a Molly fore I hit it 21  Your bitch wanna party with Cardi Cartier Bardi in a Rari 21 Diamonds all over my body Cardi Shinin all over my body my body Cardi got your bitch on molly Bitch you aint gang you lame Bentley truck lane to lane Blow out the brain 21 I go insane insane I drop a check on the chain Fuck up a check in the plane Cardi took your man you upset uh Cardi got rich they upset yeah Cardi put the pussy on Offset Say what Cartier Cardi B brain on Offset 21 Cardi took your man you upset uh Cardi got rich they upset yeah Cardi put the pussy on Offset Cardi Cartier Cardi B brain on Offset Cardi  Step in this bitch in Givenchy cash Fuck up a check in Givenchy cash Boss out the coupe and them inches I fuck up a bag at the Fendi I fuck up a bag in a minute Who you know drip like this Who you know built like this Im poppin shit like a dude Pull up to pop at your crew Brrrrrrrat poppin at you woo They say you basic I flooded the Rollie with diamonds I flooded the Patek and bracelet I got your bitch and she naked Ice on the cake when I bake it Im switchin lanes in the Range Swap out the dick for the brain Swap out your bitch for your main Swap out the trap for the fame Ice on them Carti B Cartier frames  Your bitch wanna party with Cardi Cartier Bardi in a Rari 21 Diamonds all over my body Cardi Shinin all over my body my body Cardi got your bitch on molly Bitch you aint gang you lame Bentley truck lane to lane Blow out the brain 21 I go insane insane I drop a check on the chain Fuck up a check in the plane Cardi took your man you upset uh Cardi got rich they upset yeah Cardi put the pussy on Offset Say what Cartier Cardi B brain on Offset 21 Cardi took your man you upset uh Cardi got rich they upset yeah Cardi put the pussy on Offset Cardi Cartier Cardi B brain on Offset Cardi,Rap,61
61,Ariana Grande,God Is A Woman,You you love it how I move you You love it how I touch you My one when all is said and done Youll believe God is a woman And I I feel it after midnight A feeling that you cant fight My one it lingers when were done Youll believe God is a woman  I dont wanna waste no time yeah You aint got a onetrack mind yeah Have it any way you like yeah And I can tell that you know I know how I want it Aint nobody else can relate Boy I like that you aint afraid Baby lay me down and lets pray Im tellin you the way I like it how I want it  Yeah And I can be all the things you told me not to be Yeah When you try to come for me I keep on flourishing Yeah And he see the universe when Im in company Its all in me  You you love it how I move you You love it how I touch you My one when all is said and done Youll believe God is a woman And I I feel it after midnight A feeling that you cant fight My one it lingers when were done Youll believe God is a woman  I tell you all the things you should know So baby take my hand save your soul We can make it last take it slow hmm And I can tell that you know I know how I want it yeah That you different from the rest And boy if you confess you might get blessed See if you deserve what comes next Im tellin you the way I like it how I want it  Yeah And I can be all the things you told me not to be Yeah When you try to come for me I keep on flourishing Yeah And he see the universe when Im in company Its all in me  You you love it how I move you You love it how I touch you My one when all is said and done Youll believe God is a woman And I I feel it after midnight A feeling that you cant fight My one it lingers when were done Youll believe God is a woman yeah yeah  God is a woman Yeah yeah God is a woman yeah My one One When all is said and done Youll believe God is a woman Youll believe God God is a woman Oh yeah God is a woman yeah One It lingers when were done Youll believe God is a woman,Pop,62
62,YG,Big Bank, My bitch drive a all white Range Couldnt hit it if you niggas had aim Lames cant call and you a lame You had it then you lost it hall of shame I can buy a Bentley dont talk to me For a show 150 dont talk to me You aint never helped your mans dont talk to me You just follow all the trends dont talk to me I set the bar Im the fuckin bar In the sky Im a fuckin star I dont fall in love cause I be lovin hard Do everything like my shirt extra large I dont care how I crash a Ghost Got two cribs in two states I be through the most I got white folks money that I wont blow If you ask why cause the white folks dont  Big bank take lil bank bank Big bank take lil bank bank Type of money you gon need a safe Type of money you gon need a bank From the hood its type of money make you stay awake Type of money she gon let you put it in her face Big bank take lil bank bank Big bank take lil bank bank  Everything proper no propaganda Choppa count a Goyard bandana Big sack a lotta hoes like Santa Threw a birthday party in a Phantom Big shit like a dinosaur did it And you know Tity shinin like acrylic Yeah I sold dope I had cornrows I can you see niggas hang with the door close Now Im lookin for a glove with the sparkle on it And my CBD got chocolate on it Big bank take small ass shit Bank account on some tall ass shit Attitude on some fuck you too Bankroll on what it do boo Meet me at the room at Vibe and if I aint did it yet Ill try  Big bank take lil bank bank Big bank take lil bank bank Type of money you gon need a safe Type of money you gon need a bank From the hood its type of money make you stay awake Type of money she gon let you put it in her face Big bank take lil bank bank Big bank take lil bank bank  She said whatchu gon do if I leave I said bitch Ima do me BIG bitch everything zoomed in Big bag on me lookin like Im movin in Got my foot in the door and we still here Im a first generation millionaire I broke the curse in my family not having shit Im passionate like girls thats after more than just cash and dick Feed me to the wolves now I lead the pack and shit You boys all cap Im more Colin Kaepernick Im rare as affordable health care or going to wealth from welfare I turn my Ws to Ms yeah I flip those I might buy her red bottoms with the crypto 3 coins thatll pay ya whole semester But you gotta ride it better than a Tesla  Big bank take lil bank bank lil bitch Big bank take lil bank bank Type of money you gon need a safe Type of money you gon need a bank From the hood its type of money make you stay awake Type of money she gon let you put it in her face Big bank take lil bank bank Big bank take lil bank bank  Uh oh Back again Back to back Maybach stack the Ms Told em I met Slim Shady bag the M Once he go black hell be back again Tell them hoes that its crunch time abdomen Yes I cop mad Chanel and mad Given She did it again imagine them Bout to make these bum bitches mad again Uh oh Back to them I lead the pack so my backs to them Yep the queens back whats happenin Rerun bout to make these bitches rap again Diamond chains on my ankle Young Money in the cut like a shank though Tell TIP rubber bands in my bankroll Show my ass like a stank hoe  Big bank take lil bank Big bank take lil bank Type of money you gon need a safe Type of money you gon need a bank From the hood its type of money make you stay awake Type of money she gon let you put it in her face Big bank take lil bank bank Big bank take lil bank bank,Rap,63
